Process;ID test;Module;Rôle;Point à vérifier;Étapes;Résultat attendu;Statut;Criticité;Commentaires;Test Unitaire;Test Fonctionnel;Procédure de réalisation
Authentification;AUTH-01;Connexion;Tout rôle;Connexion avec un compte CIT valide (Azure AD);1. Ouvrir l'application 2. Cliquer sur Connexion 3. Saisir un compte CIT valide 4. Valider l'authentification;L'utilisateur est connecté à l'application et redirigé vers la page d'accueil. Le nom et le mail du compte sont reconnus;Non testé;Bloquante;Test critique - couverture complète requise;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Authentification;AUTH-02;Connexion;Utilisateur non référencé;Première connexion d'un utilisateur non enregistré dans l'application;1. Se connecter avec un compte CIT valide mais non présent dans la base des utilisateurs 2. Accéder à l'application;L'application affiche un message indiquant que l'utilisateur n'est pas référencé et propose un bouton Demander un accès. Une notification est envoyée à l'Admin IT;Non testé;Bloquante;Test critique - couverture complète requise;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Authentification;AUTH-03;Profil;Tout rôle;Récupération automatique des informations du compte (Nom / Email);1. Se connecter à l'application 2. Accéder à la page Profil utilisateur;Les champs suivants sont automatiquement remplis: Nom complet, Adresse email CIT, Identifiant utilisateur. Les champs ne sont pas modifiables;Non testé;Majeure;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Authentification;AUTH-04;Profil;Tout rôle;Détermination automatique de la direction métier;1. Se connecter à l'application 2. Ouvrir le formulaire de demande de projet 3. Vérifier le champ Direction métier;Le champ Direction métier est automatiquement renseigné selon les données de l'utilisateur;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Sécurité;AUTH-05;Sécurité;Demandeur;Interdiction d'accès aux écrans d'administration;1. Se connecter avec un compte ayant le rôle Demandeur 2. Vérifier le menu principal 3. Tenter d'accéder à l'URL de la page Admin;Le menu Administration n'est pas visible. Toute tentative d'accès direct affiche Accès refusé;Non testé;Bloquante;Test de sécurité - validation unitaire et fonctionnelle requises;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Sécurité;AUTH-06;Sécurité;Directeur métier;Isolation des données entre directions;1. Se connecter avec un Directeur métier Direction A 2. Ouvrir la liste des projets 3. Rechercher des projets de Direction B;Les projets appartenant à la Direction B ne sont pas visibles;Non testé;Bloquante;Test de sécurité - validation unitaire et fonctionnelle requises;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Sécurité;AUTH-07;Sécurité;Chef de projet;Visibilité limitée aux projets dont il est responsable;1. Se connecter avec un Chef de Projet 2. Ouvrir la page Portefeuille de projets;Le Chef de projet voit uniquement les projets dont il est responsable;Non testé;Bloquante;Test de sécurité - validation unitaire et fonctionnelle requises;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Sécurité;AUTH-08;Sécurité;DSI;Accès global à tous les projets;1. Se connecter avec un compte DSI 2. Ouvrir le portefeuille projets;Tous les projets de toutes les directions sont visibles;Non testé;Bloquante;Test de sécurité - validation unitaire et fonctionnelle requises;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Sécurité;AUTH-09;Sécurité;Admin IT;Droits complets sur l'application;1. Se connecter avec un Admin IT 2. Ouvrir le menu Administration 3. Accéder aux paramètres;L'Admin IT voit tous les modules et peut modifier les paramètres;Non testé;Bloquante;Test de sécurité - validation unitaire et fonctionnelle requises;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Sécurité;AUTH-10;Sécurité;Tout rôle;Blocage de l'accès à une page non autorisée via URL directe;1. Copier l'URL d'une page Admin 2. Se connecter avec un utilisateur sans droit 3. Coller l'URL dans le navigateur;L'accès est refusé avec un message Accès non autorisé;Non testé;Bloquante;Test de sécurité - validation unitaire et fonctionnelle requises;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Administration;ADM-01;Référentiel Directions;Admin IT;Création d'une direction métier dans le référentiel;1. Se connecter avec un compte Admin IT 2. Ouvrir menu Administration 3. Accéder à Référentiels → Directions 4. Cliquer sur Ajouter 5. Renseigner: Nom direction, Code direction, Directeur associé 6. Enregistrer;La nouvelle direction est enregistrée et visible dans la liste des directions;Non testé;Majeure;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Administration;ADM-02;Référentiel Directions;Admin IT;Modification d'une direction existante;1. Se connecter Admin IT 2. Ouvrir Administration → Directions 3. Sélectionner une direction existante 4. Modifier un champ (ex: nom) 5. Enregistrer;La modification est enregistrée et visible immédiatement dans la liste;Non testé;Moyenne;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Administration;ADM-03;Référentiel Rôles;Admin IT;Création ou modification d'un rôle utilisateur;1. Ouvrir Administration → Rôles 2. Cliquer sur Ajouter 3. Renseigner: Nom rôle, description, permissions associées 4. Enregistrer;Le rôle est disponible dans la liste des rôles utilisateurs;Non testé;Majeure;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Administration;ADM-04;Référentiel Directeurs;Admin IT;Ajout d'un Directeur métier dans le référentiel;1. Ouvrir Administration → Directeurs métier 2. Cliquer Ajouter 3. Sélectionner utilisateur CIT 4. Associer direction 5. Enregistrer;Le Directeur métier est disponible dans les formulaires de demande de projet;Non testé;Bloquante;Test critique - couverture complète requise;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Administration;ADM-05;Référentiel Livrables;Admin IT;Paramétrage des types de livrables obligatoires;1. Ouvrir Administration → Livrables 2. Cliquer Ajouter type 3. Saisir: Nom livrable, phase associée, obligatoire Oui/Non 4. Enregistrer;Le type de livrable apparaît dans les phases projet correspondantes;Non testé;Majeure;Test standard;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Administration;ADM-06;Référentiel Statuts;Admin IT;Vérification des valeurs de statut projet;1. Ouvrir Administration → Statuts 2. Consulter la liste des statuts;Les statuts correspondent aux valeurs définies dans le CDC (ex: En analyse, En cours, En recette, Clôturé);Non testé;Majeure;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Administration;ADM-07;Référentiel Phases;Admin IT;Vérification des phases du cycle projet;1. Ouvrir Administration → Phases projet 2. Consulter la liste;Les phases correspondent au processus: Analyse, Planification, Exécution, Recette, Clôture;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Administration;ADM-08;Référentiel État projet;Admin IT;Vérification des indicateurs d'état projet;1. Ouvrir Administration → État projet 2. Vérifier présence: Vert, Orange, Rouge;Les trois valeurs sont disponibles et utilisables dans le suivi projet;Non testé;Majeure;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Administration;ADM-09;Référentiel Urgence;Admin IT;Vérification des niveaux d'urgence;1. Ouvrir Administration → Urgence 2. Vérifier la liste;Les niveaux disponibles sont: Basse, Moyenne, Haute;Non testé;Majeure;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Administration;ADM-10;Référentiel Criticité;Admin IT;Vérification des catégories de criticité;1. Ouvrir Administration → Criticité 2. Vérifier les valeurs;Les valeurs disponibles sont: Opérationnelle, Stratégique, Réglementaire, Autre;Non testé;Majeure;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Administration;ADM-11;Sécurité Administration;Demandeur;Interdiction de modification des référentiels pour les non-admin;1. Se connecter avec un compte Demandeur 2. Tenter d'accéder au menu Administration;L'accès est refusé ou le menu Administration n'est pas visible;Non testé;Bloquante;Test de sécurité - validation unitaire et fonctionnelle requises;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Demande Projet;DEM-01;Formulaire Demande Projet;Demandeur;Présence du champ Titre du projet;1. Se connecter 2. Ouvrir le menu Nouvelle demande de projet 3. Vérifier le champ Titre du projet 4. Saisir un texte;Le champ est visible, obligatoire et accepte la saisie de texte;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-02;Formulaire Demande Projet;Demandeur;Champ Demandeur récupéré automatiquement;1. Se connecter 2. Ouvrir le formulaire de demande;Le champ Demandeur est automatiquement prérempli avec le nom du compte CIT connecté et n'est pas modifiable;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Demande Projet;DEM-03;Formulaire Demande Projet;Demandeur;Champ Direction métier automatique;1. Ouvrir le formulaire 2. Vérifier le champ Direction métier;La direction métier est renseignée automatiquement selon l'utilisateur connecté;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Demande Projet;DEM-04;Formulaire Demande Projet;Demandeur;Champ Description du besoin;1. Ouvrir formulaire 2. Vérifier présence zone texte 3. Saisir plusieurs lignes;Zone texte multilignes visible et saisissable;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-05;Formulaire Demande Projet;Demandeur;Champ Contexte / problème;1. Ouvrir formulaire 2. Vérifier champ 3. Saisir un texte;Zone texte visible et fonctionnelle;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-06;Formulaire Demande Projet;Demandeur;Champ Objectifs du projet;1. Ouvrir formulaire 2. Saisir des objectifs;Champ visible, multilignes et saisissable;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-07;Formulaire Demande Projet;Demandeur;Champ Avantages attendus;1. Ouvrir formulaire 2. Saisir les bénéfices attendus;Champ visible et saisissable;Non testé;Moyenne;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-08;Formulaire Demande Projet;Demandeur;Champ Urgence;1. Ouvrir la liste déroulante Urgence;Les valeurs suivantes sont disponibles: Basse / Moyenne / Haute;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-09;Formulaire Demande Projet;Demandeur;Champ Criticité;1. Ouvrir la liste Criticité;Les valeurs disponibles sont: Opérationnelle / Stratégique / Réglementaire / Autre;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-10;Formulaire Demande Projet;Demandeur;Champ Date de mise en œuvre souhaitée;1. Ouvrir sélecteur de date 2. Choisir une date;La date est sélectionnable et enregistrée correctement;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-11;Formulaire Demande Projet;Demandeur;Upload Cahier de charges;1. Cliquer sur Ajouter fichier 2. Importer un document;Le document est uploadé et visible dans le formulaire;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-12;Formulaire Demande Projet;Demandeur;Upload Annexes;1. Cliquer sur Ajouter annexe 2. Importer un fichier;Les annexes sont uploadées. Ce champ reste optionnel;Non testé;Moyenne;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-13;Formulaire Demande Projet;Demandeur;Champ Directeur métier;1. Ouvrir la liste déroulante;La liste contient les Directeurs métier paramétrés par Admin IT;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-14;Formulaire Demande Projet;Demandeur;Soumission sans Titre du projet;1. Ouvrir formulaire 2. Laisser le champ Titre vide 3. Cliquer sur Enregistrer;La soumission est bloquée et un message indique que le titre est obligatoire;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-15;Formulaire Demande Projet;Demandeur;Soumission sans Description du besoin;1. Laisser le champ vide 2. Cliquer sur enregistrer;Blocage de l'enregistrement + message d'erreur;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-16;Formulaire Demande Projet;Demandeur;Soumission sans Objectifs du projet;1. Laisser le champ vide 2. Enregistrer;Blocage de l'enregistrement;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-17;Formulaire Demande Projet;Demandeur;Soumission sans Urgence;1. Ne pas sélectionner la valeur 2. Enregistrer;Message indiquant que le champ est obligatoire;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-18;Formulaire Demande Projet;Demandeur;Soumission sans Criticité;1. Ne pas sélectionner la criticité;Blocage + message d'erreur;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-19;Formulaire Demande Projet;Demandeur;Soumission sans Date souhaitée;1. Laisser vide 2. Enregistrer;Comportement conforme à la règle définie (bloquant ou facultatif);Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-20;Formulaire Demande Projet;Demandeur;Soumission sans Cahier de charges;1. Ne pas joindre de fichier 2. Enregistrer;Blocage + message demandant d'ajouter le document;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-21;Formulaire Demande Projet;Demandeur;Soumission sans Directeur métier;1. Ne pas sélectionner de directeur métier;Blocage de la soumission;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-22;Formulaire Demande Projet;Demandeur;Longueur du titre;1. Saisir un titre très long 2. Enregistrer;Aucun bug technique. Le système gère correctement la longueur;Non testé;Moyenne;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-23;Formulaire Demande Projet;Demandeur;Caractères spéciaux;1. Saisir accents, apostrophes, slash;Les données sont enregistrées correctement;Non testé;Moyenne;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-24;Formulaire Demande Projet;Demandeur;Upload CDC PDF;1. Joindre fichier PDF 2. Enregistrer;Upload réussi et document visible;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-25;Formulaire Demande Projet;Demandeur;Upload Annexe DOCX;1. Joindre fichier DOCX;Upload réussi;Non testé;Moyenne;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-26;Formulaire Demande Projet;Demandeur;Ouverture pièce jointe;1. Ouvrir la demande créée 2. Cliquer sur le document;Le document est téléchargeable et consultable;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Demande Projet;DEM-27;Formulaire Demande Projet;Demandeur;Création demande valide;1. Remplir tous les champs 2. Soumettre la demande;La demande est créée dans le système;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Demande Projet;DEM-28;Formulaire Demande Projet;Demandeur;Statut initial de la demande;1. Ouvrir la demande créée;Statut = En attente validation Directeur métier;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Demande Projet;DEM-29;Portefeuille projets;Demandeur;Mise à jour du portefeuille;1. Créer une demande 2. Consulter portefeuille;La demande apparaît dans le portefeuille;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Demande Projet;DEM-30;Notification;Directeur métier;Notification mail;1. Créer une demande 2. Vérifier la boîte mail du directeur métier;Un mail de notification est reçu;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Validation DM;VALM-01;Validation demandes;Directeur métier;Affichage de la liste des demandes;1. Se connecter en tant que Directeur métier 2. Ouvrir l'écran des demandes;Le directeur métier ne voit que les demandes de sa direction;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Validation DM;VALM-02;Validation demandes;Directeur métier;Filtre statut demande;1. Ouvrir l'écran;Seules les demandes avec statut En attente validation Directeur métier sont visibles;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Validation DM;VALM-03;Validation demandes;Directeur métier;Action Valider disponible;1. Ouvrir une demande 2. Cliquer sur Valider;Le statut devient En attente validation DSI;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Validation DM;VALM-04;Portefeuille projets;Directeur métier;Synchronisation portefeuille;1. Valider une demande 2. Vérifier le portefeuille projets;Le portefeuille est mis à jour avec les nouvelles données;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
